med,classRank,OR_std,OR,SE_OR,numInClass
1,1,36.71480055033729,1.3790227,.037560403,2
2,1,36.54228850622685,1.1556302,.031624462,2
3,2,40.58149948964417,1.5584161,.038402133,5
4,2,35.63098642392514,1.6987855,.047677197,5
5,2,10.96680473150388,1.3000633,.11854531,5
6,2,9.409365263905231,1.3920913,.14794742,5
7,2,8.283694471329166,1.3517644,.16318376,5
8,3,29.01287466286703,1.2573531,.043337762,4
9,3,4.46701708999819,1.8094356,.40506575,4
10,3,1.658040998561258,1.1411442,.68824846,4
11,3,1.320032159125485,.53139836,.4025647,4
12,4,39.43855923194587,.70313138,.017828526,5
13,4,27.32352763111749,.74228519,.027166521,5
14,4,13.11735299693671,.87171876,.066455387,5
15,4,11.62380471385908,.75090235,.064600393,5
16,4,3.714197379359034,.48369315,.13022818,5
17,5,28.64106564593598,.76972604,.026874909,5
18,5,7.513853114244692,.72020841,.095850743,5
19,5,9.193923515681542,.73587739,.080039538,5
20,5,2.831928104124914,.6370762,.224962,5
21,5,.9211488230289017,.59133446,.64195323,5
22,6,16.04191390016644,.8170169,.050930139,5
23,6,16.87604055184206,.83960748,.049751449,5
24,6,2.325354707853926,.85764158,.36882183,5
25,6,2.325354707853926,.85764158,.36882183,5
26,6,1.746745855014102,.74377203,.42580438,5
28,7,30.09408495097911,.68056166,.022614466,9
29,7,25.1807966616363,.89603138,.035583917,9
30,7,17.44138150735932,.74179411,.042530697,9
31,7,12.32050823363996,.77612704,.062994726,9
32,7,4.129420602032644,.72979075,.17672957,9
33,7,4.450576849655926,.86522555,.19440751,9
34,7,2.766067545269249,.35358101,.12782805,9
35,7,2.621240864966602,.43863246,.16733772,9
36,7,1.296030536001029,.52182329,.40263194,9
37,8,39.04546752782367,.71146005,.018221322,7
38,8,20.74085783427842,1.2911812,.062253028,7
39,8,12.50945881234809,1.4019461,.11207088,7
40,8,5.360676458407918,1.4516649,.27079883,7
41,8,1.942249919327536,1.532967,.7892738,7
42,8,2.590321721199837,1.6550536,.63893747,7
43,8,1.811252351482513,1.1962126,.66043401,7
44,9,25.10251074494708,1.3104446,.052203726,6
45,9,17.94643194988159,1.4170223,.078958444,6
46,9,14.9605750265687,1.4631282,.097798929,6
47,9,10.07875149615441,1.0462811,.10381059,6
48,9,7.671380507823457,1.1997799,.15639687,6
49,9,1.376117944279182,1.5586618,1.1326513,6
50,10,30.50404832266751,.68657827,.022507776,6
51,10,16.19921986137566,.79094404,.048826057,6
52,10,14.40818159129002,.74560988,.051749062,6
53,10,9.037844992633328,.64099789,.070923753,6
54,10,5.061575928273447,.78376764,.15484656,6
55,10,2.491184017852524,.70890653,.2845661,6
56,11,15.55774074420361,1.6178846,.10399226,3
57,11,14.59792309398635,1.3326768,.091292217,3
58,11,5.249885130985909,1.5098462,.28759605,3
59,12,27.26459647346494,1.0009406,.036712099,6
60,12,27.68752708268318,.76562512,.027652347,6
61,12,8.377842373567018,1.025001,.12234666,6
62,12,6.090515464067544,.87314177,.1433609,6
63,12,2.49540126514544,.66891265,.26805815,6
64,12,1.288650640034367,.27324885,.21204261,6
65,13,20.87990989210433,1.073235,.051400367,4
66,13,14.72510621968823,1.3769122,.093507797,4
67,13,2.915409169677885,2.4247057,.83168626,4
68,13,16.18503446922586,1.3280185,.082052253,4
69,14,20.1858942479809,1.5964607,.079087935,1
70,15,13.75619361471912,.89806968,.065284751,8
71,15,10.44699877104298,.6849699,.06556619,8
72,15,8.256997966705084,.72109193,.087331004,8
73,15,5.810920293590812,.9733361,.1675012,8
74,15,3.307030498309409,.90888661,.27483466,8
75,15,2.815874496510735,.65278673,.2318238,8
76,15,3.417088248610092,.6228413,.18227252,8
77,15,1.703584336529183,.81103081,.47607318,8
78,16,23.29739856091501,1.6462147,.070660882,1
79,17,23.37744684318183,1.4664749,.062730327,6
80,17,3.880705330652554,.90822428,.23403588,6
81,17,4.594544987969626,.55466682,.1207229,6
82,17,4.472416811125012,4.4030151,.98448229,6
83,17,5.031017010764335,1.5360301,.30531204,6
84,17,2.498964967296487,2.437233,.97529697,6
85,18,10.64155146332943,.95959115,.09017399,6
86,18,5.630631899847398,.88558334,.15727957,6
87,18,4.817423816547437,.75481063,.15668346,6
88,18,3.858201148332636,.75598681,.19594282,6
89,18,5.374127253207734,.83528805,.15542766,6
90,18,3.664035603223024,.76266426,.2081487,6
91,19,18.59427481559479,.76014459,.040880572,4
92,19,5.530531745743102,.60841292,.11000984,4
93,19,6.189024405130358,.83105516,.13427886,4
94,19,1.264511281587116,.71513301,.56554103,4
96,20,17.79306537516373,1.1459217,.064402714,1
97,21,12.83755884266611,1.0510726,.081874803,6
98,21,4.666335617389586,.65588707,.1405572,6
99,21,7.726164635619404,1.0141228,.13125825,6
100,21,2.735980854511778,.53430367,.19528779,6
101,21,2.70712727427988,1.2886913,.47603646,6
102,21,1.033080837420621,1.209421,1.1706935,6
103,22,21.74775002747145,.93487191,.042987064,8
104,22,9.730106210311828,.98415637,.10114549,8
105,22,3.948389277979533,.85202676,.21579097,8
106,22,4.592814645258764,.99909419,.21753418,8
107,22,4.601892643827396,1.1055425,.24023649,8
108,22,3.459521897414237,.8514294,.24611187,8
109,22,2.435268324100228,1.1108694,.45615894,8
110,22,2.111076565450768,2.1312232,1.0095433,8
111,23,30.56914212292294,.61296284,.020051686,1
112,24,16.49132676895228,1.0773395,.065327644,4
113,24,9.572411621549964,6.5377674,.68298018,4
114,24,3.523513451145902,.68668008,.19488505,4
115,24,.853047109899121,1.0178893,1.1932392,4
116,25,30.17210226142218,.90159553,.02988176,2
117,25,1.931030711779117,1.4376985,.74452388,2
118,26,12.48002556714176,.89960712,.072083756,2
119,26,7.169610794708736,.79152465,.11039995,2
120,27,14.68617088332907,.99208164,.067552097,6
121,27,9.425654860740323,1.1019288,.1169074,6
122,27,10.8402381472727,.86625355,.079910934,6
123,27,5.257871258970278,.81227165,.15448679,6
124,27,4.681794607706789,.77225727,.16494898,6
125,27,2.551701244582267,.7649253,.29977071,6
126,28,20.0288652241791,.8229866,.041090026,2
127,28,12.36224626123106,.8428064,.06817583,2
128,29,7.481539487722664,.79339898,.10604756,6
129,29,6.426144146834983,1.3080369,.20354927,6
130,29,2.142562141800805,.82075197,.38307032,6
131,29,4.948348483813496,.85815924,.17342336,6
132,29,4.512351934252709,.67468274,.14951909,6
133,29,1.873575509985308,.55420816,.29580241,6
134,30,14.84764840580669,.89281642,.06013184,7
135,30,7.344328196635407,.96110451,.1308635,7
136,30,3.73622701944039,1.4357965,.38429049,7
137,30,2.130943249468704,1.0553812,.4952648,7
138,30,1.417262069762383,1.4015197,.98889238,7
139,30,1.254880349406728,.93093765,.74185371,7
140,30,.8907546670566699,.41766238,.46888599,7
141,31,17.56411450196748,.78757739,.044840142,7
142,31,18.86357517966776,.94399625,.050043337,7
143,31,12.53199706216576,.92371607,.073708609,7
144,31,9.723930602089389,.75445199,.077587143,7
145,31,6.328813302303291,.9925639,.15683255,7
146,31,5.512479735303371,.70312512,.12755151,7
147,31,3.313956130834021,.57714874,.17415702,7
148,32,12.81511304348087,1.273087,.099342629,1
150,33,24.75404681283159,.67838985,.02740521,1
